year,donor_name,recipient_code,Health ODA (including COVID-19),Health ODA
2019,Austria,55,0.35384599999999994,0.35384599999999994
2019,Austria,57,0.242802,0.242802
2019,Austria,63,0.061655999999999996,0.061655999999999996
2019,Austria,64,0.041781,0.041781
2019,Austria,65,0.003467,0.003467
2019,Austria,66,0.022358999999999997,0.022358999999999997
2019,Austria,71,0.214975,0.214975
2019,Austria,85,0.35036500000000004,0.35036500000000004
2019,Austria,86,0.067689,0.067689
2019,Austria,88,9.5e-05,9.5e-05
2019,Austria,89,0.205342,0.205342
2019,Austria,93,0.219998,0.219998
2019,Austria,130,0.03873,0.03873
2019,Austria,133,0.106806,0.106806
2019,Austria,136,0.7639710000000001,0.7639710000000001
2019,Austria,139,0.101067,0.101067
2019,Austria,142,0.42884700000000003,0.42884700000000003
2019,Austria,189,0.001748,0.001748
2019,Austria,218,0.091715,0.091715
2019,Austria,225,0.277827,0.277827
2019,Austria,227,0.008137,0.008137
2019,Austria,228,1.169711,1.169711
2019,Austria,229,0.351922,0.351922
2019,Austria,230,0.0065650000000000005,0.0065650000000000005
2019,Austria,231,0.223824,0.223824
2019,Austria,232,0.258521,0.258521
2019,Austria,233,0.019421,0.019421
2019,Austria,234,0.047067,0.047067
2019,Austria,235,2.994439,2.994439
2019,Austria,236,0.15662600000000002,0.15662600000000002
2019,Austria,238,2.6214429999999997,2.6214429999999997
2019,Austria,239,0.309667,0.309667
2019,Austria,240,0.238809,0.238809
2019,Austria,241,0.152132,0.152132
2019,Austria,243,0.463804,0.463804
2019,Austria,244,0.31490900000000005,0.31490900000000005
2019,Austria,245,0.005613,0.005613
2019,Austria,247,0.367022,0.367022
2019,Austria,248,0.8444269999999999,0.8444269999999999
2019,Austria,249,0.0912,0.0912
2019,Austria,251,0.08251599999999999,0.08251599999999999
2019,Austria,252,0.232295,0.232295
2019,Austria,253,0.695514,0.695514
2019,Austria,255,0.336975,0.336975
2019,Austria,256,0.206486,0.206486
2019,Austria,257,0.03303,0.03303
2019,Austria,259,0.608776,0.608776
2019,Austria,260,0.602341,0.602341
2019,Austria,261,2.939911,2.939911
2019,Austria,265,0.7418029999999999,0.7418029999999999
2019,Austria,266,0.108027,0.108027
2019,Austria,268,0.004908,0.004908
2019,Austria,269,0.157805,0.157805
2019,Austria,270,0.001011,0.001011
2019,Austria,271,0.012324,0.012324
2019,Austria,272,0.181866,0.181866
2019,Austria,273,0.062663,0.062663
2019,Austria,274,0.058597,0.058597
2019,Austria,275,0.02498,0.02498
2019,Austria,276,0.000366,0.000366
2019,Austria,278,0.29904499999999995,0.29904499999999995
2019,Austria,279,0.43385799999999997,0.43385799999999997
2019,Austria,280,0.08936799999999999,0.08936799999999999
2019,Austria,282,0.640292,0.640292
2019,Austria,283,0.072701,0.072701
2019,Austria,285,0.5952280000000001,0.5952280000000001
2019,Austria,287,1.391245,1.391245
2019,Austria,288,0.503155,0.503155
2019,Austria,289,0.39309700000000003,0.39309700000000003
2019,Austria,298,0.45922199999999996,0.45922199999999996
2019,Austria,336,0.20288800000000004,0.20288800000000004
2019,Austria,338,0.001637,0.001637
2019,Austria,340,0.008447,0.008447
2019,Austria,342,0.057672,0.057672
2019,Austria,347,0.063347,0.063347
2019,Austria,349,0.31304000000000004,0.31304000000000004
2019,Austria,351,0.019183,0.019183
2019,Austria,352,0.03965900000000001,0.03965900000000001
2019,Austria,354,0.14824900000000002,0.14824900000000002
2019,Austria,358,0.015623,0.015623
2019,Austria,364,0.207464,0.207464
2019,Austria,366,0.006507,0.006507
2019,Austria,377,0.000361,0.000361
2019,Austria,378,0.00027699999999999996,0.00027699999999999996
2019,Austria,381,0.040583,0.040583
2019,Austria,383,0.065013,0.065013
2019,Austria,384,0.038290000000000005,0.038290000000000005
2019,Austria,389,0.015815,0.015815
2019,Austria,425,0.35270199999999996,0.35270199999999996
2019,Austria,428,0.035476,0.035476
2019,Austria,431,0.160144,0.160144
2019,Austria,434,0.000888,0.000888
2019,Austria,437,0.005162,0.005162
2019,Austria,440,0.004341,0.004341
2019,Austria,446,0.003273,0.003273
2019,Austria,451,0.003049,0.003049
2019,Austria,454,0.009415,0.009415
2019,Austria,457,0.002195,0.002195
2019,Austria,460,0.0008399999999999999,0.0008399999999999999
2019,Austria,463,0.005781,0.005781
2019,Austria,489,0.0035230000000000005,0.0035230000000000005
2019,Austria,498,0.15554199999999999,0.15554199999999999
2019,Austria,540,0.009407,0.009407
2019,Austria,543,0.298025,0.298025
2019,Austria,549,0.095294,0.095294
2019,Austria,550,2.817757,2.817757
2019,Austria,555,0.051729000000000004,0.051729000000000004
2019,Austria,573,0.270941,0.270941
2019,Austria,580,2.647107,2.647107
2019,Austria,589,0.208499,0.208499
2019,Austria,610,0.048041,0.048041
2019,Austria,611,0.001565,0.001565
2019,Austria,612,0.042518,0.042518
2019,Austria,613,0.043242,0.043242
2019,Austria,614,0.035467,0.035467
2019,Austria,615,0.08154,0.08154
2019,Austria,616,0.00332,0.00332
2019,Austria,617,0.17522300000000002,0.17522300000000002
2019,Austria,619,0.009122,0.009122
2019,Austria,625,1.3963459999999999,1.3963459999999999
2019,Austria,630,0.024439,0.024439
2019,Austria,635,0.184831,0.184831
2019,Austria,640,1.3313359999999999,1.3313359999999999
2019,Austria,645,1.347929,1.347929
2019,Austria,655,0.018633,0.018633
2019,Austria,660,0.618524,0.618524
2019,Austria,665,0.785073,0.785073
2019,Austria,666,1.7855219999999998,1.7855219999999998
2019,Austria,679,0.091585,0.091585
2019,Austria,689,0.001234,0.001234
2019,Austria,728,0.07086,0.07086
2019,Austria,730,0.301473,0.301473
2019,Austria,738,0.215852,0.215852
2019,Austria,740,0.01156,0.01156
2019,Austria,745,0.42058900000000005,0.42058900000000005
2019,Austria,751,0.004109,0.004109
2019,Austria,753,0.8370839999999999,0.8370839999999999
2019,Austria,755,0.244371,0.244371
2019,Austria,764,0.051037,0.051037
2019,Austria,765,0.067236,0.067236
2019,Austria,769,2.563789,2.563789
2019,Austria,789,0.109475,0.109475
2019,Austria,798,0.037384,0.037384
2019,Austria,831,0.001173,0.001173
2019,Austria,832,0.009873,0.009873
2019,Austria,836,0.0035399999999999997,0.0035399999999999997
2019,Austria,845,0.000299,0.000299
2019,Austria,854,0.005619,0.005619
2019,Austria,856,0.000286,0.000286
2019,Austria,859,0.002318,0.002318
2019,Austria,860,0.002577,0.002577
2019,Austria,861,0.000382,0.000382
2019,Austria,862,0.028065,0.028065
2019,Austria,866,0.006634,0.006634
2019,Austria,868,0.00025600000000000004,0.00025600000000000004
2019,Austria,870,0.012726999999999999,0.012726999999999999
2019,Austria,872,0.005958,0.005958
2019,Austria,880,0.018697,0.018697
2019,Austria,889,0.021086,0.021086
2019,Austria,1027,0.000335,0.000335
2019,Austria,1030,0.000241,0.000241
2019,Austria,1031,0.034191,0.034191
2019,Austria,9998,4.210041,4.210041
2019,Belgium,55,0.7537269999999999,0.7537269999999999
2019,Belgium,57,0.042324,0.042324
2019,Belgium,63,0.061442,0.061442
2019,Belgium,64,0.074118,0.074118
2019,Belgium,65,0.005641,0.005641
2019,Belgium,66,0.04632,0.04632
2019,Belgium,71,0.040231,0.040231
2019,Belgium,85,0.259957,0.259957
