DAC Code,Purpose Code,Voluntary code,Description,Notes
120,,,Health,
121,,,"Health, General",
121,12110,,Health policy and administrative management,"Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; including health system strengthening and health governance; unspecified health activities."
121,,12196,Health statistics and data,"Collection, production, management and dissemination of statistics and data related to health. Includes health surveys, establishment of health databases, data collection on epidemics, etc."
121,12181,,Medical education/training,Medical education and training for tertiary level services.
121,12182,,Medical research,General medical research (excluding basic health research and research for prevention and control of NCDs (12382)).
121,12191,,Medical services,"Laboratories, specialised clinics and hospitals (including equipment and supplies); ambulances; dental services; medical rehabilitation. Excludes noncommunicable diseases (123xx)."
122,,,Basic Health,
122,12220,,Basic health care,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care; activities aimed at achieving universal health coverage."
122,12230,,Basic health infrastructure,"District-level hospitals, clinics and dispensaries and related medical equipment; excluding specialised hospitals and clinics (12191)."
122,12240,,Basic nutrition,"Micronutrient deficiency identification and supplementation; Infant and young child feeding promotion including exclusive breastfeeding; Non-emergency management of acute malnutrition and other targeted feeding programs (including complementary feeding); Staple food fortification including salt iodization; Nutritional status monitoring and national nutrition surveillance; Research, capacity building, policy development, monitoring and evaluation in support of these interventions.  Use code 11250 for school feeding and 43072 for household food security."
122,12250,,Infectious disease control,"Immunisation; prevention and control of infectious and parasite diseases, except malaria (12262), tuberculosis (12263), COVID-19 (12264), HIV/AIDS and other STDs (13040). It includes diarrheal diseases, vector-borne diseases (e.g. river blindness and guinea worm), viral diseases, mycosis, helminthiasis, zoonosis, diseases by other bacteria and viruses, pediculosis, etc."
122,12261,,Health education,"Information, education and training of the population for improving health knowledge and practices; public health and awareness campaigns; promotion of improved personal hygiene practices, including use of sanitation facilities and handwashing with soap."
122,12262,,Malaria control,Prevention and control of malaria.
122,12263,,Tuberculosis control,"Immunisation, prevention and control of tuberculosis."
122,12264,,COVID-19 control,"All activities related to COVID-19 control e.g. information, education and communication; testing; prevention; immunisation, treatment, care."
122,12281,,Health personnel development,Training of health staff for basic health care services.
123,,,Non-communicable diseases (NCDs),
123,12310,,"NCDs control, general",Programmes for the prevention and control of NCDs which cannot be broken down into the codes below.
123,12320,,Tobacco use control,"Population/individual measures and interventions to reduce all forms of tobacco use in any form. Includes activities related to the implementation of the WHO Framework Convention on Tobacco Control, including specific high-impact demand reduction measures for effective tobacco control."
123,12330,,Control of harmful use of alcohol and drugs,"Prevention and reduction of harmful use of alcohol and psychoactive drugs; development, implementation, monitoring and evaluation of prevention and treatment strategies, programmes and interventions; early identification and management of health conditions caused by use of alcohol and drugs [excluding narcotics traffic control (16063)]."
123,12340,,Promotion of mental health and well-being,"Promotion of programmes and interventions which support mental health and well-being resiliency; prevention, care and support to individuals vulnerable to suicide. Excluding treatment of addiction to tobacco, alcohol and drugs (included in codes 12320 and 12330)."
123,12350,,Other prevention and treatment of NCDs,"Population/individual measures to reduce exposure to unhealthy diets and physical inactivity and to strengthen capacity for prevention, early detection, treatment and sustained management of NCDs including:  Cardiovascular disease control: Prevention, screening and treatment of cardiovascular diseases (including hypertension, hyperlipidaemia, ischaemic heart diseases, stroke, rheumatic heart disease, congenital heart disease, heart failure, etc.).   Diabetes control: Prevention, screening, diagnosis, treatment and management of complications from all types of diabetes.  Exposure to physical inactivity: Promotion of physical activity through supportive built environment (urban design, transport), sports, health care, schools and community programmes and mass media campaign.  Exposure to unhealthy diet: Programmes and interventions that promote healthy diet through reduced consumption of salt, sugar and fats and increased consumption of fruits and vegetables e.g. food reformulation, nutrient labelling, food taxes, marketing restriction on unhealthy foods, nutrition education and counselling, and settings-based interventions (schools, workplaces, villages, communities).  Cancer control: Prevention (including immunisation, HPV and HBV), early diagnosis (including pathology), screening, treatment (e.g. radiotherapy, chemotherapy, surgery) and palliative care for all types of cancers. Implementation, maintenance and improvement of cancer registries are also included.  Chronic respiratory diseases: Prevention, early diagnosis and treatment of chronic respiratory diseases, including asthma. Excludes: Tobacco use control (12320), Control of harmful use of alcohol and drugs (12330), research for the prevention and control of NCDs (12382)."
123,12382,,Research for prevention and control of NCDs,"Research to enhance understanding of NCDs, their risk factors, epidemiology, social determinants and economic impact; translational and implementation research to enhance operationalisation of cost-effective strategies to prevent and control NCDs; surveillance and monitoring of NCD mortality, morbidity, risk factor exposures, and national capacity to prevent and control NCDs."
130,,,Population Policies/Programmes & Reproductive Health,
130,13010,,Population policy and administrative management,"Population/development policies; demographic research/analysis; reproductive health research; unspecified population activities. (Use purpose code 15190 for data on migration and refugees. Use code 13096 for census work, vital registration and migration data collection.)"
130,,13096,Population statistics and data,"Collection, production, management and dissemination of statistics and data related to Population and Reproductive Health. Includes census work, vital registration, migration data collection, demographic data, etc."
130,13020,,Reproductive health care,Promotion of reproductive health; prenatal and postnatal care including delivery; prevention and treatment of infertility; prevention and management of consequences of abortion; safe motherhood activities.
130,13030,,Family planning,"Family planning services including counselling; information, education and communication (IEC) activities; delivery of contraceptives; capacity building and training."
130,13040,,STD control including HIV/AIDS,"All activities related to sexually transmitted diseases and HIV/AIDS control e.g. information, education and communication; testing; prevention; treatment, care."
130,13081,,Personnel development for population and reproductive health,Education and training of health staff for population and reproductive health care services.
